매장명,위도,경도,구,주소,전화번호,매장타입
은행사거리,37.65048737,127.0759861,노원구,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",1522-3232,general
노원KT,37.654562,127.063617,노원구,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",1522-3232,general
광운대,37.6231479,127.06070090000003,노원구,서울특별시 노원구 석계로 104 (월계동),1522-3232,general
중계역,37.64817,127.062244,노원구,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",1522-3232,general
노원역,37.654751,127.060034,노원구,서울특별시 노원구 동일로 1413 (상계동) 1층,1522-3232,general
월계이마트,37.62710413988373,127.06207848790164,노원구,서울특별시 노원구 마들로3길 15 (월계동),1522-3232,general
태릉입구역DT,37.61942,127.07932,노원구,서울특별시 노원구 화랑로 469 (공릉동),1522-3232,generalDT
노원상계,37.651535,127.061026,노원구,서울특별시 노원구 동일로215길 2 (상계동),1522-3232,general
노원구청,37.6539896,127.057755,노원구,서울특별시 노원구 노해로 447 (상계동),1522-3232,general
창동이마트,37.651658491435505,127.04686598939148,도봉구,서울특별시 도봉구 노해로65길 4 (창동),1522-3232,general
쌍문역,37.648456,127.034783,도봉구,서울특별시 도봉구 도봉로 480 (창동),1522-3232,general
도봉구청,37.6695034764443,127.04603799266,도봉구,서울특별시 도봉구 마들로 665 (도봉동),1522-3232,general
쌍문도봉로,37.6453516,127.0331011,도봉구,서울특별시 도봉구 도봉로 444 (창동),1522-3232,general
도봉로DT,37.6611805929041,127.041630065957,도봉구,서울특별시 도봉구 도봉로 635 (쌍문동),1522-3232,generalDT
방학역,37.6653125,127.0433125,도봉구,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",1522-3232,general
창동역,37.6545021055909,127.049672533607,도봉구,서울특별시 도봉구 마들로13길 61 (창동),1522-3232,general
노량진동,37.513068,126.946537,동작구,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",1522-3232,general
남성역,37.4841198,126.9725739,동작구,서울특별시 동작구 사당로 219 (사당동),1522-3232,general
상도역,37.5031936,126.9484581,동작구,서울특별시 동작구 상도로37길 1 (상도1동),1522-3232,general
보라매공원R,37.49191014040362,126.92354836012281,동작구,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",1522-3232,reserve
이수자이,37.484414,126.980047,동작구,서울특별시 동작구 사당로 300 (사당동 이수자이),1522-3232,general
노량진역,37.51339,126.940879,동작구,서울특별시 동작구 노량진로 134 (노량진동),1522-3232,general
신대방삼거리역,37.50034872148687,126.93198758957686,동작구,서울특별시 동작구 상도로 102 (상도동),1522-3232,general
중앙대,37.506933,126.958125,동작구,서울특별시 동작구 흑석로 75-1 (흑석동),1522-3232,general
숭실대입구역,37.4968346,126.95271230000003,동작구,서울특별시 동작구 상도로 354 (상도동),1522-3232,general
숭실대,37.49538073,126.9548891,동작구,서울특별시 동작구 사당로 4 (상도동),1522-3232,general
사당역,37.47849216,126.9813456,동작구,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",1522-3232,general
서강대프라자,37.551073,126.943096,마포구,서울특별시 마포구 백범로 35 (신수동),1522-3232,general
상암YTN,37.579314265546294,126.89221044590168,마포구,서울특별시 마포구 상암산로 76 (상암동),1522-3232,general
마포용강동,37.541186,126.942209,마포구,서울특별시 마포구 토정로 295 (용강동),1522-3232,general
홍대입구역사거리R,37.554636,126.92036,마포구,서울특별시 마포구 양화로 125 (서교동),1522-3232,reserve
마포경찰서후문,37.550800,126.953432,마포구,서울특별시 마포구 마포대로 173-14 (아현동),1522-3232,general
공덕,37.545913,126.952956,마포구,서울특별시 마포구 마포대로 130 (공덕동),1522-3232,general
합정폴리스R,37.5509,126.9134,마포구,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",1522-3232,reserve
홍대공항철도역,37.557491,126.925146,마포구,서울특별시 마포구 양화로 178 (동교동),1522-3232,general
마포염리,37.543876,126.94768,마포구,서울특별시 마포구 독막로 311 (염리동),1522-3232,general
서강광흥창역,37.549377,126.931661,마포구,서울특별시 마포구 서강로 69 (창전동),1522-3232,general
합정,37.54997888236882,126.91254036891405,마포구,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",1522-3232,general
서강대흥역,37.548178,126.941576,마포구,서울특별시 마포구 백범로 89-5 (대흥동),1522-3232,general
서교동사거리,37.553376,126.918564,마포구,서울특별시 마포구 양화로 105 (서교동),1522-3232,general
상암사보이시티,37.581462210224295,126.88878549621795,마포구,서울특별시 마포구 월드컵북로54길 17 (상암동),1522-3232,general
신촌오거리,37.555137,126.934694,마포구,서울특별시 마포구 신촌로16길 10 (노고산동),1522-3232,general
상암디지털큐브,37.57613521806125,126.88892643460335,마포구,서울특별시 마포구 상암산로 34,1522-3232,general
상수역,37.5474817,126.92321579999998,마포구,서울특별시 마포구 독막로 88 (상수동),1522-3232,general
공덕오거리,37.5424641,126.95057730000008,마포구,서울특별시 마포구 마포대로 86 (도화동) 창강빌딩,1522-3232,general
서강대,37.5524584,126.9378262,마포구,서울특별시 마포구 백범로 23 (신수동),1522-3232,general
상암MBC,37.58094223885055,126.89158543354138,마포구,서울특별시 마포구 성암로 267 (상암동),1522-3232,general
홍대역,37.557175,126.923654,마포구,"서울특별시 마포구 양화로 165, 상진빌딩 1층 (동교동)",1522-3232,general
동교,37.556928,126.919819,마포구,"서울특별시 마포구 월드컵북로 22, 영준빌딩 1층 (동교동)",1522-3232,general
애오개역,37.5523207784261,126.955694482104,마포구,"서울특별시 마포구 마포대로 201, 마포트라팰리스II (아현동)",1522-3232,general
상암DMC,37.57770031657981,126.8909363638002,마포구,"서울특별시 마포구 월드컵북로 375, DMC이안오피스텔1단지 102호,202호 (상암동)",1522-3232,general
마포일진빌딩,37.54043451,126.9463168,마포구,"서울특별시 마포구 마포대로 45, 일진빌딩 1층 (도화동)",1522-3232,general
마포아크로,37.5413348427548,126.948866602054,마포구,서울특별시 마포구 마포대로 68 (도화동) 마포아크로타워,1522-3232,general
홍대삼거리,37.55024764,126.9232823,마포구,서울특별시 마포구 와우산로 64 (상수동),1522-3232,general
망원역,37.555829,126.910637,마포구,서울특별시 마포구 월드컵로 74 (서교동),1522-3232,general
마포이마트,37.542421,126.953341,마포구,서울특별시 마포구 백범로 212 (신공덕동) 마포이마트,1522-3232,general
