,시도,우편번호,법정동주소,Latitude,Longitude,도로명주소,사용승인일,동수,세대수,최고층수,단지명
100,부산광역시,49108.0,부산광역시 영도구 동삼동 402-4 삼창파크5동6동,35.0752838,129.0728753,부산광역시 영도구 절영로 551,19901207.0,2,183,14,삼창파크5동6동
101,부산광역시,49122.0,부산광역시 영도구 동삼동 680-12 에덴금호타운,35.071178,129.076061,부산광역시 영도구 태종로 702,19950609.0,2,285,25,에덴금호타운
102,부산광역시,49115.0,부산광역시 영도구 동삼동 510-27 영도벽산비치타운,35.0748716,129.0696311,부산광역시 영도구 와치로 266,19950610.0,5,414,15,영도벽산비치타운
103,부산광역시,,부산광역시 영도구 동삼동 1190- 영동경동리인,35.0704806,129.0700794,,20171215.0,2,123,20,영동경동리인
104,부산광역시,,부산광역시 영도구 동삼동 383-1 오션라이프에일린의 뜰,35.0756132,129.0742791,,20230628.0,10,1228,35,오션라이프에일린의 뜰
105,부산광역시,49098.0,"부산광역시 영도구 동삼동 1170,부산광역시 영도구 동삼동 1171 일동미라주브라이튼",35.0818941,129.071328,"부산광역시 영도구 동삼북로 20,부산광역시 영도구 동삼로 98",20141231.0,6,312,15,일동미라주브라이튼
106,부산광역시,49105.0,"부산광역시 영도구 동삼동 510-2,부산광역시 영도구 동삼동 510-11 절영아파트",35.0767177,129.0671376,"부산광역시 영도구 와치로 231,부산광역시 영도구 중리로 41",19951020.0,10,1340,20,절영아파트
107,부산광역시,49121.0,부산광역시 영도구 동삼동 656 조양비취맨션,35.0715394,129.0712282,부산광역시 영도구 절영로 504,19851221.0,9,630,5,조양비취맨션
108,부산광역시,49117.0,부산광역시 영도구 동삼동 510-34 한진로즈힐,35.0732615,129.0715893,부산광역시 영도구 와치로 294,20041227.0,3,270,18,한진로즈힐
109,부산광역시,49119.0,부산광역시 영도구 동삼동 1124 함지그린,35.0710161,129.0620605,부산광역시 영도구 함지로 8,19940506.0,9,1000,21,함지그린
110,부산광역시,47214.0,부산광역시 부산진구 양정동 525 대원칸타빌멤버스,35.1711665,129.0683091,부산광역시 부산진구 거제대로 26,20060829.0,6,840,43,대원칸타빌멤버스
111,부산광역시,47229.0,부산광역시 부산진구 양정동 367-14 양정 이즈카운티,35.1684076,129.069062,부산광역시 부산진구 양지로14번길 24,20200714.0,3,276,24,양정 이즈카운티
112,부산광역시,47226.0,부산광역시 부산진구 양정동 12-6 양정 포레힐즈 스위첸,35.1729369,129.0793061,부산광역시 부산진구 양연로 36,20230830.0,14,1338,35,양정 포레힐즈 스위첸
113,부산광역시,47210.0,부산광역시 부산진구 양정동 273-1 양정롯데갤러리움,35.175916,129.0727252,부산광역시 부산진구 중앙대로969번길 11,20060427.0,1,268,30,양정롯데갤러리움
114,부산광역시,47210.0,부산광역시 부산진구 양정동 406-4 양정백조,35.1741451,129.0702433,부산광역시 부산진구 동평로 409,19831230.0,3,190,10,양정백조
115,부산광역시,47222.0,부산광역시 부산진구 양정동 350-3 양정삼성타워,35.1748051,129.0737252,부산광역시 부산진구 양지로5번길 60,20001114.0,1,150,15,양정삼성타워
116,부산광역시,47212.0,부산광역시 부산진구 양정동 397-1 양정퀸즈팰리스,35.1729743,129.0685808,부산광역시 부산진구 거제대로48번길 20,20170331.0,1,187,18,양정퀸즈팰리스
117,부산광역시,47206.0,부산광역시 부산진구 양정동 458-5 양정현대1차아파트,35.1733596,129.0632515,부산광역시 부산진구 동평로 352,19971115.0,13,1733,25,양정현대1차아파트
118,부산광역시,47208.0,부산광역시 부산진구 양정동 458-20 양정현대2차아파트,35.1733596,129.0632515,부산광역시 부산진구 거제대로 37,19980715.0,15,1901,25,양정현대2차아파트
119,부산광역시,47230.0,"부산광역시 부산진구 전포동 927,부산광역시 부산진구 전포동 928 e편한세상 시민공원 아파트",35.1575101,129.0710937,"부산광역시 부산진구 진남로 460,부산광역시 부산진구 진남로 455",20220929.0,17,1401,35,e편한세상 시민공원 아파트
