"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001483","절영초등학교","02","공립","N","","1","7","7","1","12","12","1","12","12","1","9","9","1","11","11","1","9","9","1","3","3","0","0","0","7","63","9","10","6.3"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001484","중리초등학교","02","공립","N","","3","60","20","4","80","20","4","93","23.3","4","96","24","5","107","21.4","5","126","25.2","1","5","5","0","0","0","26","567","21.8","31","18.3"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001486","중현초등학교","02","공립","N","","2","46","23","3","53","17.7","3","62","20.7","3","61","20.3","3","69","23","4","87","21.8","1","6","6","0","0","0","19","384","20.2","22","17.5"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001487","천마초등학교","02","공립","N","","1","12","12","2","24","12","1","18","18","1","15","15","1","11","11","2","29","14.5","5","6","1.2","0","0","0","13","115","8.8","13","8.8"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001488","청동초등학교","02","공립","N","","3","68","22.7","3","65","21.7","4","76","19","3","72","24","4","84","21","4","89","22.3","2","8","4","0","0","0","23","462","20.1","29","15.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001489","청학초등학교","02","공립","N","","1","19","19","2","31","15.5","2","27","13.5","2","28","14","2","41","20.5","2","35","17.5","1","2","2","0","0","0","12","183","15.3","14","13.1"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 영도구","S020001491","태종대초등학교","02","공립","N","","1","12","12","1","18","18","1","7","7","1","24","24","1","24","24","1","12","12","1","4","4","0","0","0","7","101","14.4","10","10.1"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 서구","S020001492","토성초등학교","02","공립","N","","3","51","17","3","64","21.3","3","73","24.3","4","81","20.3","4","78","19.5","4","77","19.3","2","7","3.5","0","0","0","23","431","18.7","27","16"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001493","하남초등학교","02","공립","N","","4","90","22.5","4","82","20.5","6","120","20","5","110","22","5","113","22.6","5","115","23","2","11","5.5","0","0","0","31","641","20.7","38","16.9"
"부산광역시교육청","부산광역시서부교육지원청","부산광역시 사하구","S020001494","하단초등학교","02","공립","N","","2","35","17.5","2","46","23","2","49","24.5","2","43","21.5","3","65","21.7","3","63","21","2","10","5","0","0","0","16","311","19.4","19","16.4"
