매장명,구,주소,위도,경도
스타벅스광장,광진구,서울특별시 광진구 아차산로 537-17 (광장동),37.54261257747251,127.09964053100875
스타벅스건국클래식,광진구,서울특별시 광진구 능동로 90 (자양동) 더 클래식500,37.538466,127.071271
스타벅스건대후문,광진구,서울특별시 광진구 능동로 172 (화양동),37.54603056145237,127.07381934747976
스타벅스중곡역,광진구,"서울특별시 광진구 능동로 400 (중곡동) 1층 108,109,110,111,112,118 6개호실",37.56505700511581,127.08445231025853
스타벅스자양이마트,광진구,서울특별시 광진구 아차산로 272 (자양동) 지하1층,37.537817,127.072597
스타벅스자양역,광진구,"서울특별시 광진구 능동로 18 (자양동, 이튼타워리버3차)",37.532684640479,127.067878503557
스타벅스화양삼거리,광진구,서울특별시 광진구 광나루로 374 (화양동),37.54774853077512,127.07126924540049
스타벅스군자사거리,광진구,서울특별시 광진구 천호대로 549 (중곡동) 1층,37.55769507399991,127.079087912222
스타벅스금천구청역,금천구,"서울특별시 금천구 시흥대로73길 67 (시흥동), 엠메디컬타워 1층",37.45588672536701,126.89568245942294
스타벅스가산에스케이,금천구,"서울특별시 금천구 가산디지털1로 171 (가산동), SK V1센터 1층",37.48082408602027,126.88100079322535
스타벅스독산사거리,금천구,서울특별시 금천구 시흥대로 426 (독산동),37.47158263368701,126.8986055180454
스타벅스금천시흥,금천구,서울특별시 금천구 시흥대로 164 (시흥동),37.44875938266414,126.9032387598192
스타벅스가산디지털단지역,금천구,"서울특별시 금천구 벚꽃로 298 (가산동), 대륭포스트타워 6차 1층",37.48135375445197,126.88358906045958
스타벅스금천독산,금천구,서울특별시 금천구 두산로 70 (독산동),37.46957081,126.89565779
스타벅스가산디지털,금천구,"서울특별시 금천구 가산디지털1로 168 (가산동), 우림라이온스밸리 B동 1층",37.479970085901,126.882507193785
스타벅스마리오아울렛,금천구,서울특별시 금천구 벚꽃로 266 마리오아울렛3관,37.47860691180926,126.88484825777417
스타벅스가산브이타워,금천구,"서울특별시 금천구 가산디지털1로 128 (가산동), V-TOWER 1층",37.47700409645337,126.88355058577784
스타벅스가산그레이트,금천구,"서울특별시 금천구 디지털로9길 32, 갑을그레이트밸리 1층 (가산동)",37.47955080325422,126.88727191931528
스타벅스독산역,금천구,"서울특별시 금천구 가산디지털1로 16 (가산동), 107-2, 1층",37.46770966619833,126.88767404102676
스타벅스가산퍼블릭,금천구,"서울특별시 금천구 디지털로 178 (가산동), B동 F Park 1층",37.47574363470601,126.88684803652212
스타벅스가산현대아울렛,금천구,"서울특별시 금천구 디지털로10길 9 (가산동), 1층 일부",37.477680443,126.888840553
스타벅스가산케이에스,금천구,"서울특별시 금천구 벚꽃로36길 30 (가산동), 가산KS타워 1층",37.48089352069766,126.88515566597012
스타벅스가산어반워크,금천구,서울특별시 금천구 가산디지털2로 135 (가산동),37.4800231711237,126.878250987906
스타벅스월계역,노원구,"서울특별시 노원구 초안산로2라길26 월계동(104,105,106호)",37.6295,127.0574
스타벅스월계트레이더스,노원구,서울특별시 노원구 마들로3길 15 (월계동),37.62800550518018,127.06135422465172
스타벅스상계초교사거리,노원구,서울특별시 노원구 노원로 449 (상계동),37.656776,127.066442
스타벅스공릉DT,노원구,서울특별시 노원구 동일로 1015 (공릉동),37.6206884,127.0743116
스타벅스노원마들역,노원구,"서울특별시 노원구 노원로 569 (상계동, 임광아파트)",37.66102597066783,127.05807772069322
스타벅스공릉역,노원구,서울특별시 노원구 동일로 1081 (공릉동),37.626337,127.072252
스타벅스은행사거리,노원구,"서울특별시 노원구 중계로 217, 중흥빌딩 103,203호 (중계동)",37.65048737,127.0759861
스타벅스노원KT,노원구,"서울특별시 노원구 노해로 502, (주)KT 노원사옥 (상계동)",37.654562,127.063617
스타벅스광운대,노원구,서울특별시 노원구 석계로 104 (월계동),37.6231479,127.06070090000004
스타벅스중계역,노원구,"서울특별시 노원구 동일로 1339, 대한빌딩 (상계동)",37.64817,127.062244
스타벅스노원역,노원구,서울특별시 노원구 동일로 1413 (상계동) 1층,37.654751,127.060034
스타벅스월계이마트,노원구,서울특별시 노원구 마들로3길 15 (월계동),37.62710413988373,127.06207848790164
스타벅스태릉입구역DT,노원구,서울특별시 노원구 화랑로 469 (공릉동),37.61942,127.07932
스타벅스노원상계,노원구,서울특별시 노원구 동일로215길 2 (상계동),37.651535,127.061026
스타벅스노원구청,노원구,서울특별시 노원구 노해로 447 (상계동),37.6539896,127.057755
스타벅스창동이마트,도봉구,서울특별시 도봉구 노해로65길 4 (창동),37.65165849143551,127.04686598939148
스타벅스쌍문역,도봉구,서울특별시 도봉구 도봉로 480 (창동),37.648456,127.034783
스타벅스도봉구청,도봉구,서울특별시 도봉구 마들로 665 (도봉동),37.6695034764443,127.04603799266
스타벅스쌍문도봉로,도봉구,서울특별시 도봉구 도봉로 444 (창동),37.6453516,127.0331011
스타벅스도봉로DT,도봉구,서울특별시 도봉구 도봉로 635 (쌍문동),37.6611805929041,127.041630065957
스타벅스방학역,도봉구,"서울특별시 도봉구 도봉로 684 (방학동)101,102,113,114,115호",37.6653125,127.0433125
스타벅스창동역,도봉구,서울특별시 도봉구 마들로13길 61 (창동),37.6545021055909,127.049672533607
스타벅스노량진동,동작구,"서울특별시 동작구 노량진로 190 (노량진동, 고려교육타워-어바니엘한강) 101호~105호",37.513068,126.946537
스타벅스남성역,동작구,서울특별시 동작구 사당로 219 (사당동),37.4841198,126.9725739
스타벅스상도역,동작구,서울특별시 동작구 상도로37길 1 (상도1동),37.5031936,126.9484581
스타벅스보라매공원R,동작구,"서울특별시 동작구 보라매로5길 35 (신대방동, 파크스퀘어,보라매현대APT)",37.49191014040362,126.9235483601228
스타벅스이수자이,동작구,서울특별시 동작구 사당로 300 (사당동 이수자이),37.484414,126.980047
스타벅스노량진역,동작구,서울특별시 동작구 노량진로 134 (노량진동),37.51339,126.940879
스타벅스신대방삼거리역,동작구,서울특별시 동작구 상도로 102 (상도동),37.50034872148687,126.93198758957686
스타벅스중앙대,동작구,서울특별시 동작구 흑석로 75-1 (흑석동),37.506933,126.958125
스타벅스숭실대입구역,동작구,서울특별시 동작구 상도로 354 (상도동),37.4968346,126.95271230000004
스타벅스숭실대,동작구,서울특별시 동작구 사당로 4 (상도동),37.49538073,126.9548891
스타벅스사당역,동작구,"서울특별시 동작구 동작대로 21, 양지빌딩 1-3층 (사당동)",37.47849216,126.9813456
스타벅스서강대프라자,마포구,서울특별시 마포구 백범로 35 (신수동),37.551073,126.943096
스타벅스상암YTN,마포구,서울특별시 마포구 상암산로 76 (상암동),37.57931426554629,126.89221044590168
스타벅스마포용강동,마포구,서울특별시 마포구 토정로 295 (용강동),37.541186,126.942209
스타벅스홍대입구역사거리R,마포구,서울특별시 마포구 양화로 125 (서교동),37.554636,126.92036
스타벅스마포경찰서후문,마포구,서울특별시 마포구 마포대로 173-14 (아현동),37.5508,126.953432
스타벅스공덕,마포구,서울특별시 마포구 마포대로 130 (공덕동),37.545913,126.952956
스타벅스합정폴리스R,마포구,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)",37.5509,126.9134
스타벅스홍대공항철도역,마포구,서울특별시 마포구 양화로 178 (동교동),37.557491,126.925146
스타벅스마포염리,마포구,서울특별시 마포구 독막로 311 (염리동),37.543876,126.94768
스타벅스서강광흥창역,마포구,서울특별시 마포구 서강로 69 (창전동),37.549377,126.931661
스타벅스합정,마포구,"서울특별시 마포구 월드컵로1길 14 (합정동) 마포한강푸르지오 110, 111, 112-2",37.54997888236882,126.91254036891404
스타벅스서강대흥역,마포구,서울특별시 마포구 백범로 89-5 (대흥동),37.548178,126.941576
스타벅스서교동사거리,마포구,서울특별시 마포구 양화로 105 (서교동),37.553376,126.918564
스타벅스상암사보이시티,마포구,서울특별시 마포구 월드컵북로54길 17 (상암동),37.581462210224295,126.88878549621796
스타벅스신촌오거리,마포구,서울특별시 마포구 신촌로16길 10 (노고산동),37.555137,126.934694
